hotel,url,image_url,price,address,location,note,score,avg review,reviews count,property
Thuy Duong Boutique Hotel Hue,https://www.booking.com/hotel/vn/gold-2.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=0_0_1_0_0&highlighted_blocks=0_0_1_0_0&matching_block_id=0_0_1_0_0&sr_pri_blocks=0_0_1_0_0__49992241&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/400302980.webp?k=fa71db6c33b5ff34a491e11291ace86e0f40d2997dbecd2360edc8a418804f6b&o=,VND 499.922,Huế,Cách trung tâm 400m,None,"Đạt điểm 8,8
8,8",Tuyệt vời,636,1 giường đôi
Thai Binh II Hotel,https://www.booking.com/hotel/vn/thaibinh-2.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=29199003_195607949_2_0_0&highlighted_blocks=29199003_195607949_2_0_0&matching_block_id=29199003_195607949_2_0_0&sr_pri_blocks=29199003_195607949_2_0_0__40000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/129848825.webp?k=b2bd6df396aba28363ad3e243e4f9fb0fa2083634349de94472a30be8270aa38&o=,VND 400.000,Huế,Cách trung tâm 200m,None,"Đạt điểm 8,1
8,1",Rất tốt,390,1 giường đôi hoặc 2 giường đơn
Tò Vò Hostel Huế,https://www.booking.com/hotel/vn/tovo-hostel.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=439920907_361695856_1_1_0&highlighted_blocks=439920907_361695856_1_1_0&matching_block_id=439920907_361695856_1_1_0&sr_pri_blocks=439920907_361695856_1_1_0__19800000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/399962072.webp?k=20e049214f18e85b8461e7996c5d509252817390b26e9fbc07960f0806d7fb02&o=,VND 198.000,Huế,"Cách trung tâm 0,6km",None,"Đạt điểm 8,8
8,8",Tuyệt vời,698,1 giường đơn
DRAGON HUE HOTEL,https://www.booking.com/hotel/vn/dragon-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=1181056001_390549421_2_0_0&highlighted_blocks=1181056001_390549421_2_0_0&matching_block_id=1181056001_390549421_2_0_0&sr_pri_blocks=1181056001_390549421_2_0_0__65000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/541415371.webp?k=e18a1e6a9f74f22f271327d90c09277cb25b94b13bf9a29bd5744a59ae597202&o=,VND 650.000,Huế,"Cách trung tâm 0,7km",None,"Đạt điểm 8,7
8,7",Tuyệt vời,81,1 giường đôi lớn
Nana Homestay & Villa,https://www.booking.com/hotel/vn/na-na-homestay-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=601973201_236169955_2_2_0&highlighted_blocks=601973201_236169955_2_2_0&matching_block_id=601973201_236169955_2_2_0&sr_pri_blocks=601973201_236169955_2_2_0__51300000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/398047007.webp?k=0264d5ef0fbd2bafc99bdc07223d0daf77b4d437a09efde951990f24a50f5bdf&o=,VND 513.000,Huế,Cách trung tâm 1km,None,"Đạt điểm 8,6
8,6",Tuyệt vời,1.112,1 giường đôi lớn
Than Thien - Friendly Hotel,https://www.booking.com/hotel/vn/than-thien.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=26206606_264198492_1_1_0&highlighted_blocks=26206606_264198492_1_1_0&matching_block_id=26206606_264198492_1_1_0&sr_pri_blocks=26206606_264198492_1_1_0__43776000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/15199202.webp?k=0a3f12027dd7290cb0f14e56e801a02ea5ddafb00d1c09939ad35c8070bd9914&o=,VND 437.760,Huế,"Cách trung tâm 1,1km",None,"Đạt điểm 8,8
8,8",Tuyệt vời,1.187,1 giường đôi lớn
Komi House Homestay,https://www.booking.com/hotel/vn/komi-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=1128256505_387055371_2_0_0&highlighted_blocks=1128256505_387055371_2_0_0&matching_block_id=1128256505_387055371_2_0_0&sr_pri_blocks=1128256505_387055371_2_0_0__54000000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/578639521.webp?k=92972213b6dd1640b56043139d56ac01d476b771ac6dec7623bca220f325f6cf&o=,VND 540.000,Huế,Cách trung tâm 350m,None,"Đạt điểm 8,9
8,9",Tuyệt vời,99,1 giường đôi lớn
Melia Vinpearl Hue,https://www.booking.com/hotel/vn/melia-vinpearl-hue-hotel.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=399089426_350511463_2_2_0&highlighted_blocks=399089426_350511463_2_2_0&matching_block_id=399089426_350511463_2_2_0&sr_pri_blocks=399089426_350511463_2_2_0__195310900&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/500991738.webp?k=c18aa72a5fa061b3331aef9844d2816e47de4fad3e7a12d80548dbd42d39c6c2&o=,VND 1.953.109,Huế,Cách trung tâm 450m,None,"Đạt điểm 9,3
9,3",Tuyệt hảo,2.907,Nhiều loại giường
Happy House Homestay,https://www.booking.com/hotel/vn/happy-house-homestay-thanh-pho-hue1.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=883507901_357666261_2_0_0&highlighted_blocks=883507901_357666261_2_0_0&matching_block_id=883507901_357666261_2_0_0&sr_pri_blocks=883507901_357666261_2_0_0__25000000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/422644889.webp?k=cd6ce5074202f550032df1b9f876c8443cc25f933b270c9d3c8bc6f65b708286&o=,VND 250.000,Huế,Cách trung tâm 350m,None,"Đạt điểm 7,8
7,8",Tốt,156,1 giường đôi lớn
Hue Sweethouse 1 Homestay,https://www.booking.com/hotel/vn/hue-sweethouse-homestay-thanh-pho-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=897727908_399669337_2_1_0&highlighted_blocks=897727908_399669337_2_1_0&matching_block_id=897727908_399669337_2_1_0&sr_pri_blocks=897727908_399669337_2_1_0__45000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/405649267.webp?k=ffb5fadb43f566ce88cc2afc7ad7d76e35473e2da081ed9a95103ce1db1d54d3&o=,VND 450.000,Huế,Cách trung tâm 350m,None,"Đạt điểm 8,9
8,9",Tuyệt vời,1.425,1 giường đôi lớn
Pisces Hotel Hue,https://www.booking.com/hotel/vn/pisces-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=1058012202_397769598_2_0_0&highlighted_blocks=1058012202_397769598_2_0_0&matching_block_id=1058012202_397769598_2_0_0&sr_pri_blocks=1058012202_397769598_2_0_0__60320000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/487617157.webp?k=ada0339a5a2a859032310634bcceea3a0f75c3b99dd6b110c188c68457dc9fda&o=,VND 603.200,Huế,"Cách trung tâm 1,2km",None,"Đạt điểm 8,8
8,8",Tuyệt vời,334,1 giường đôi cực lớn
TRUONG PHU HOUSE - HOTEL & APARTMENT,https://www.booking.com/hotel/vn/truong-phu-house-amp-apartment.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=1140667001_390921634_2_1_0&highlighted_blocks=1140667001_390921634_2_1_0&matching_block_id=1140667001_390921634_2_1_0&sr_pri_blocks=1140667001_390921634_2_1_0__59500000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/535448741.webp?k=544e3d0c339c684dfb1665d2d7a9e88b27a624d90dfd4429c29b3da7af07f7e8&o=,VND 595.000,Huế,"Cách trung tâm 2,7km",None,"Đạt điểm 9,1
9,1",Tuyệt hảo,128,1 giường đôi
SOLEIL HOSTEL,https://www.booking.com/hotel/vn/soleil-hostel.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=42&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=417195916_374351744_2_1_0&highlighted_blocks=417195916_374351744_2_1_0&matching_block_id=417195916_374351744_2_1_0&sr_pri_blocks=417195916_374351744_2_1_0__45100000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/464579130.webp?k=7613dc9c3c457540771fccbd1c06ae574795d695e867eac740f381f6515cb5ed&o=,VND 451.000,Huế,"Cách trung tâm 1,8km",None,"Đạt điểm 9,0
9,0",Tuyệt hảo,272,1 giường đôi lớn
Hue Serene Palace Hotel,https://www.booking.com/hotel/vn/hue-serene-palace.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=43&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=58296101_392954062_0_1_0&highlighted_blocks=58296101_392954062_0_1_0&matching_block_id=58296101_392954062_0_1_0&sr_pri_blocks=58296101_392954062_0_1_0__198000000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/524401448.webp?k=43f24eb92abc7ac470d6d32815e35f518fcb5db2923f98e0137df22f704d5c2c&o=,VND 1.980.000,Huế,"Cách trung tâm 1,1km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,2.214,1 giường đôi hoặc 2 giường đơn
a-mâze house,https://www.booking.com/hotel/vn/a-maze-house.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=462092804_309652835_1_0_0&highlighted_blocks=462092804_309652835_1_0_0&matching_block_id=462092804_309652835_1_0_0&sr_pri_blocks=462092804_309652835_1_0_0__20000000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/187884351.webp?k=74cb6991c320138bb632f727c6bb0e05f61a1885c448166048e25397fc7dde47&o=,VND 200.000,Huế,"Cách trung tâm 1,9km",None,"Đạt điểm 9,1
9,1",Tuyệt hảo,242,1 giường tầng
Jade Hotel,https://www.booking.com/hotel/vn/jade-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=45&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=135666301_196392526_1_1_0&highlighted_blocks=135666301_196392526_1_1_0&matching_block_id=135666301_196392526_1_1_0&sr_pri_blocks=135666301_196392526_1_1_0__85637500&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/491381888.webp?k=82c486748bd3b2a8d87e96d409dff20b9bbba2e65fa228e9d04187d82c5557f4&o=,VND 856.375,Huế,Cách trung tâm 400m,None,"Đạt điểm 8,7
8,7",Tuyệt vời,660,1 giường đôi
Boom Casa Homestay,https://www.booking.com/hotel/vn/boom-casa-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=46&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=1043745501_385490900_2_0_0&highlighted_blocks=1043745501_385490900_2_0_0&matching_block_id=1043745501_385490900_2_0_0&sr_pri_blocks=1043745501_385490900_2_0_0__45000000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/503605526.webp?k=37a030eb64bfeaf6dec45af8ceb9400a1f021a342126e9e5650918b94182e302&o=,VND 450.000,Huế,"Cách trung tâm 0,8km",None,"Đạt điểm 9,0
9,0",Tuyệt hảo,102,1 giường đôi lớn
Thanh Lich Hue Hotel,https://www.booking.com/hotel/vn/thanh-lich-2.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=47&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=122381801_381949059_2_41_0&highlighted_blocks=122381801_381949059_2_41_0&matching_block_id=122381801_381949059_2_41_0&sr_pri_blocks=122381801_381949059_2_41_0__69600000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/602893442.webp?k=b3f19a8ea17cbfbc3991d5b393067926141aac9841293521161dc2dd34b942b8&o=,VND 696.000,Huế,Cách trung tâm 1km,None,"Đạt điểm 8,6
8,6",Tuyệt vời,488,1 giường đôi lớn
Mini hotel Lạc Hồng,https://www.booking.com/hotel/vn/mini-lac-hong.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=48&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=951052601_367723996_0_0_0&highlighted_blocks=951052601_367723996_0_0_0&matching_block_id=951052601_367723996_0_0_0&sr_pri_blocks=951052601_367723996_0_0_0__27000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/425379414.webp?k=1094a01a198e9fece80fe63d4e4f95a8ffd75703a0c3b106311fd635738e3947&o=,VND 270.000,Huế,Cách trung tâm 350m,None,"Đạt điểm 8,1
8,1",Rất tốt,117,1 giường đôi
Amy Hotel Hue,https://www.booking.com/hotel/vn/white-house-amp-apartment-thanh-pho-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=49&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=846841804_378938990_0_1_0_132272&highlighted_blocks=846841804_378938990_0_1_0_132272&matching_block_id=846841804_378938990_0_1_0_132272&sr_pri_blocks=846841804_378938990_0_1_0_132272_67500000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/497520650.webp?k=ef62960456e4f41dbed5d0b8b3b584d89c3f2d82ae3e5783caee7363bd7e96e2&o=,VND 675.000,Huế,Cách trung tâm 1km,None,"Đạt điểm 8,9
8,9",Tuyệt vời,310,1 giường đôi lớn
Saigon Morin Hotel,https://www.booking.com/hotel/vn/saigon-morin.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=50&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551789&all_sr_blocks=25429202_0_1_1_0&highlighted_blocks=25429202_0_1_1_0&matching_block_id=25429202_0_1_1_0&sr_pri_blocks=25429202_0_1_1_0__139456045&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/25319442.webp?k=59a4758de1144cdf94e4ef8b71e1f2da16ae814be447b273b13b9600cb91800f&o=,VND 1.394.560,Huế,Cách trung tâm 400m,None,"Đạt điểm 8,3
8,3",Rất tốt,1.024,1 giường đôi hoặc 2 giường đơn
Mondial Hotel Hue,https://www.booking.com/hotel/vn/mondial-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=51&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551789&all_sr_blocks=25836106_362489954_2_2_0_187357&highlighted_blocks=25836106_362489954_2_2_0_187357&matching_block_id=25836106_362489954_2_2_0_187357&sr_pri_blocks=25836106_362489954_2_2_0_187357_78120000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/113645024.webp?k=950e81df7704ab027bfe7ec22fd3d201235ee5f6c5a3734f461800a837fba835&o=,VND 781.200,Huế,Cách trung tâm 1km,None,"Đạt điểm 8,0
8,0",Rất tốt,523,1 giường đôi lớn
Gardenia Hue Hotel,https://www.booking.com/hotel/vn/gardenia-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=52&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551789&all_sr_blocks=361188108_264934795_2_1_0&highlighted_blocks=361188108_264934795_2_1_0&matching_block_id=361188108_264934795_2_1_0&sr_pri_blocks=361188108_264934795_2_1_0__62790000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/600428999.webp?k=863a094e55160a83d8362b2ec5c49e2063fc0084a99a577cc87c72f05b1b1acf&o=,VND 627.900,Huế,Cách trung tâm 1km,None,"Đạt điểm 8,4
8,4",Rất tốt,428,1 giường đôi hoặc 2 giường đơn
Silk Path Grand Hue Hotel,https://www.booking.com/hotel/vn/green-hue-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=53&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551789&all_sr_blocks=25769308_402753536_2_2_0_589047&highlighted_blocks=25769308_402753536_2_2_0_589047&matching_block_id=25769308_402753536_2_2_0_589047&sr_pri_blocks=25769308_402753536_2_2_0_589047_204600000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/581507895.webp?k=592a2e7aa6b04105909763ddd03600961a32c67a89019f76752146f339c71b0f&o=,VND 2.046.000,Huế,"Cách trung tâm 1,2km",None,"Đạt điểm 9,2
9,2",Tuyệt hảo,656,Nhiều loại giường
Gold Hotel Huế,https://www.booking.com/hotel/vn/gold-hue-thanh-pho-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=54&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551789&all_sr_blocks=1269692201_399720539_2_0_0&highlighted_blocks=1269692201_399720539_2_0_0&matching_block_id=1269692201_399720539_2_0_0&sr_pri_blocks=1269692201_399720539_2_0_0__27000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/591874459.webp?k=e564e2a093cea6788d1fff4f26726c7340d2eccc23845a58b27f81b8e5b92a9e&o=,VND 270.000,Huế,"Cách trung tâm 1,1km",None,"Đạt điểm 8,0
8,0",Rất tốt,79,1 giường đôi lớn
